SH, 03, 1996090218,   , BEST,   0,  88S,  842E,  20
SH, 03, 1996090300,   , BEST,   0,  89S,  840E,  20
SH, 03, 1996090306,   , BEST,   0,  90S,  838E,  20
SH, 03, 1996090312,   , BEST,   0,  91S,  836E,  20
SH, 03, 1996090318,   , BEST,   0,  92S,  834E,  25
SH, 03, 1996090400,   , BEST,   0,  93S,  832E,  25
SH, 03, 1996090406,   , BEST,   0,  94S,  829E,  25
SH, 03, 1996090412,   , BEST,   0,  95S,  825E,  25
SH, 03, 1996090418,   , BEST,   0,  96S,  821E,  25
SH, 03, 1996090500,   , BEST,   0,  96S,  816E,  25
SH, 03, 1996090506,   , BEST,   0,  94S,  810E,  25
SH, 03, 1996090512,   , BEST,   0,  91S,  806E,  25
SH, 03, 1996090518,   , BEST,   0,  89S,  802E,  25
SH, 03, 1996090600,   , BEST,   0,  87S,  798E,  25
SH, 03, 1996090606,   , BEST,   0,  86S,  793E,  25
SH, 03, 1996090612,   , BEST,   0,  85S,  787E,  25
SH, 03, 1996090618,   , BEST,   0,  85S,  781E,  30
SH, 03, 1996090700,   , BEST,   0,  86S,  774E,  35
SH, 03, 1996090706,   , BEST,   0,  87S,  766E,  40
SH, 03, 1996090712,   , BEST,   0,  87S,  758E,  40
SH, 03, 1996090718,   , BEST,   0,  87S,  750E,  35
SH, 03, 1996090800,   , BEST,   0,  86S,  741E,  35
SH, 03, 1996090806,   , BEST,   0,  84S,  731E,  35
SH, 03, 1996090812,   , BEST,   0,  83S,  722E,  35
SH, 03, 1996090818,   , BEST,   0,  83S,  713E,  35
SH, 03, 1996090900,   , BEST,   0,  83S,  704E,  30
SH, 03, 1996090906,   , BEST,   0,  83S,  696E,  30
SH, 03, 1996090912,   , BEST,   0,  83S,  689E,  30
SH, 03, 1996090918,   , BEST,   0,  83S,  682E,  25
