lon,lat
-163.1994349,-18.0564409299991
-163.1983623,-18.0550798699991
-163.1972897,-18.0537188099991
-163.1958575,-18.0524520699991
-163.1944254,-18.0511853299991
-163.19315,-18.0498502499991
-163.1918745,-18.0485151799991
-163.1905991,-18.0471800999991
-163.1893237,-18.0458450199991
-163.1881002,-18.0447899799991
-163.1868767,-18.0437349399991
-163.1856533,-18.0426798999991
-163.1844298,-18.0416248599991
-163.1831725,-18.0400946099991
-163.1819152,-18.0385643499991
-163.180658,-18.0370340999991
-163.1794007,-18.0355038499991
-163.1786062,-18.0340327699991
-163.1778117,-18.0325616799991
-163.1770172,-18.0310905999991
-163.1762226,-18.0296195099991
-163.1754281,-18.0281484299991
-163.1750001,-18.0262973399991
-163.174572,-18.0244462399991
-163.1741439,-18.0225951499991
-163.1737158,-18.0207440599991
-163.1737851,-18.0190812299991
-163.1738544,-18.0174183999991
-163.1739237,-18.0157555699991
-163.173993,-18.0140927399991
-163.1740623,-18.0124299099991
-163.1742881,-18.0104997999991
-163.1745139,-18.0085696799991
-163.1747397,-18.0066395699991
-163.1749654,-18.0047094499991
-163.1751649,-18.0035802899991
-163.1753643,-18.0024511199991
-163.1751377,-18.0005091399991
-163.1749111,-17.9985671599991
-163.1740596,-17.9969703499991
-163.1732081,-17.9953735299991
-163.1723566,-17.9937767099991
-163.1712977,-17.9923285599991
-163.1702388,-17.9908804099991
-163.1691799,-17.9894322499991
-163.1680349,-17.9888079499991
-163.1668899,-17.9881836499991
-163.16499,-17.9881380199991
-163.1637348,-17.9885976599991
-163.1624797,-17.9890573099991
-163.1607787,-17.9897861099991
-163.1590777,-17.9905149199991
-163.1577997,-17.9919268499991
-163.1565216,-17.9933387799991
-163.1555565,-17.9945997599991
-163.1545913,-17.9958607399991
-163.1536262,-17.9971217299991
-163.1526841,-17.9985956499991
-163.151742,-18.0000695699991
-163.1507999,-18.0015434899991
-163.1498577,-18.0030174099991
-163.1489156,-18.0044913299991
-163.1477435,-18.0059297899991
-163.1465714,-18.0073682499991
-163.1453993,-18.0088067199991
-163.1439578,-18.0100057699991
-163.1425162,-18.0112048199991
-163.1410747,-18.0124038699991
-163.1396331,-18.0136029199991
-163.1382492,-18.0143680499991
-163.1368652,-18.0151331899991
-163.1354813,-18.0158983199991
-163.1340973,-18.0166634499991
-163.1333572,-18.0178907199991
-163.1326172,-18.0191179899991
-163.1321995,-18.0205979499991
-163.1317819,-18.0220779199991
-163.1313642,-18.0235578799991
-163.1313082,-18.0250301099991
-163.1312521,-18.0265023499991
-163.1301547,-18.0272757499991
-163.1290572,-18.0280491499991
-163.1279597,-18.0288225499991
-163.1267534,-18.0294540499991
-163.1255471,-18.0300855399991
-163.1240132,-18.0302480899991
-163.1224794,-18.0304106399991
-163.1208896,-18.0307618299991
-163.1192998,-18.0311130299991
-163.1177101,-18.0314642299991
-163.1164009,-18.0322132399991
-163.1150917,-18.0329622399991
-163.1137825,-18.0337112499991
-163.1128243,-18.0352892499991
-163.1124968,-18.0367672899991
-163.1127762,-18.0384054599991
-163.1130555,-18.0400436399991
-163.1133349,-18.0416818199991
-163.1135473,-18.0430329699991
-163.1137596,-18.0443841299991
-163.113972,-18.0457352899991
-163.1141429,-18.0472459699991
-163.1143138,-18.0487566499991
-163.1147469,-18.0498723399991
-163.1151799,-18.0509880399991
-163.1155789,-18.0525803799991
-163.1159779,-18.0541727299991
-163.1170007,-18.0553623599991
-163.1185178,-18.0564116299991
-163.120035,-18.0574608899991
-163.1215049,-18.0584246099991
-163.1229748,-18.0593883199991
-163.1239846,-18.0600157199991
-163.1249944,-18.0606431199991
-163.1260585,-18.0616587299991
-163.1271226,-18.0626743499991
-163.1279647,-18.0638677599991
-163.1288068,-18.0650611799991
-163.129618,-18.0668609699991
-163.1304291,-18.0686607599991
-163.1310513,-18.0701184599991
-163.1316735,-18.0715761499991
-163.1327016,-18.0729818799991
-163.1337297,-18.0743875999991
-163.1349748,-18.0753992499991
-163.1362199,-18.0764109099991
-163.1371775,-18.0767364799991
-163.1381351,-18.0770620399991
-163.139503,-18.0775229999991
-163.1408709,-18.0779839499991
-163.1422389,-18.0784448999991
-163.1436115,-18.0791076199991
-163.1449842,-18.0797703499991
-163.1461486,-18.0805528999991
-163.147313,-18.0813354499991
-163.1484774,-18.0821179999991
-163.149585,-18.0830459699991
-163.1506925,-18.0839739399991
-163.1518001,-18.0849018999991
-163.1525007,-18.0858386199991
-163.1532014,-18.0867753399991
-163.1535515,-18.0881955199991
-163.1539017,-18.0896157099991
-163.1542869,-18.0906024799991
-163.1546721,-18.0915892599991
-163.1557066,-18.0932542499991
-163.1567412,-18.0949192399991
-163.1578798,-18.0952407699991
-163.1590184,-18.0955622899991
-163.1603317,-18.0956204399991
-163.161645,-18.0956785999991
-163.1629964,-18.0954330599991
-163.1643478,-18.0951875199991
-163.1660277,-18.0948050499991
-163.1677076,-18.0944225899991
-163.1693875,-18.0940401199991
-163.1712352,-18.0937405199991
-163.1730829,-18.0934409099991
-163.1745113,-18.0926311899991
-163.1759398,-18.0918214799991
-163.1773682,-18.0910117599991
-163.1779283,-18.0898314999991
-163.1784884,-18.0886512299991
-163.1786967,-18.0872622799991
-163.178905,-18.0858733299991
-163.1791134,-18.0844843799991
-163.1792881,-18.0829519499991
-163.1794629,-18.0814195099991
-163.1796376,-18.0798870799991
-163.180085,-18.0784064199991
-163.1805324,-18.0769257599991
-163.1809798,-18.0754450899991
-163.1820587,-18.0738930399991
-163.1831377,-18.0723409899991
-163.1842166,-18.0707889399991
-163.1853681,-18.0697544699991
-163.1865196,-18.0687199899991
-163.187671,-18.0676855099991
-163.1888228,-18.0666654299991
-163.1899746,-18.0656453599991
-163.1911264,-18.0646252799991
-163.1922781,-18.0636051999991
-163.1935901,-18.0626681399991
-163.1949021,-18.0617310799991
-163.1962141,-18.0607940299991
-163.1975261,-18.0598569699991
-163.1980459,-18.0588938799991
-163.1985658,-18.0579307799991
-163.1994349,-18.0564409299991
-159.8434931,-18.9161028199991
-159.8434246,-18.9145425399991
-159.843356,-18.9129822699991
-159.8432875,-18.9114219899991
-159.8424147,-18.9099520599991
-159.841542,-18.9084821199991
-159.8406692,-18.9070121899991
-159.8397964,-18.9055422499991
-159.8384419,-18.9042651999991
-159.8370874,-18.9029881499991
-159.8357329,-18.9017110899991
-159.8343784,-18.9004340399991
-159.8330239,-18.8991569799991
-159.8319603,-18.8977398599991
-159.8308967,-18.8963227399991
-159.8298331,-18.8949056199991
-159.8287694,-18.8934884899991
-159.8277058,-18.8920713699991
-159.826516,-18.8909062099991
-159.8253262,-18.8897410399991
-159.8241364,-18.8885758799991
-159.8229466,-18.8874107099991
-159.82221,-18.8857840099991
-159.8214734,-18.8841572999991
-159.8207368,-18.8825305899991
-159.8200002,-18.8809038899991
-159.8192636,-18.8792771799991
-159.8189639,-18.8775791799991
-159.8186643,-18.8758811799991
-159.8183646,-18.8741831799991
-159.8180649,-18.8724851799991
-159.8177652,-18.8707871799991
-159.8172466,-18.8690207699991
-159.8167281,-18.8672543599991
-159.8162095,-18.8654879499991
-159.8156909,-18.8637215399991
-159.8151724,-18.8619551399991
-159.8137088,-18.8606176699991
-159.8122453,-18.8592801999991
-159.8107818,-18.8579427299991
-159.8093182,-18.8566052599991
-159.808068,-18.8554257599991
-159.8068178,-18.8542462699991
-159.8055676,-18.8530667699991
-159.8043174,-18.8518872699991
-159.8030672,-18.8507077699991
-159.801817,-18.8495282799991
-159.801308,-18.8477964499991
-159.8007989,-18.8460646299991
-159.8002899,-18.8443328099991
-159.7997808,-18.8426009799991
-159.798984,-18.8409859899991
-159.7981872,-18.8393709899991
-159.7973904,-18.8377559899991
-159.7961111,-18.8368077399991
-159.7948319,-18.8358594799991
-159.7935526,-18.8349112299991
-159.7922733,-18.8339629799991
-159.7908832,-18.8326510099991
-159.789493,-18.8313390399991
-159.7881029,-18.8300270599991
-159.7867128,-18.8287150899991
-159.7853226,-18.8274031199991
-159.7838606,-18.8262821399991
-159.7823986,-18.8251611599991
-159.7809366,-18.8240401799991
-159.7794746,-18.8229191999991
-159.7781978,-18.8224621199991
-159.776921,-18.8220050399991
-159.7756442,-18.8215479599991
-159.774066,-18.8215544999991
-159.7724879,-18.8215610399991
-159.7709097,-18.8215675899991
-159.7693352,-18.8223832899991
-159.7677607,-18.8231989899991
-159.7661862,-18.8240146899991
-159.7651616,-18.8256373199991
-159.764137,-18.8272599499991
-159.7631124,-18.8288825699991
-159.7622074,-18.8301000899991
-159.7613023,-18.8313176099991
-159.7603973,-18.8325351199991
-159.7594922,-18.8337526399991
-159.7587098,-18.8352586399991
-159.7579273,-18.8367646399991
-159.7571449,-18.8382706399991
-159.7563625,-18.8397766499991
-159.7555801,-18.8412826499991
-159.7547976,-18.8427886499991
-159.7540162,-18.8445258399991
-159.7532347,-18.8462630299991
-159.7524533,-18.8480002199991
-159.7518235,-18.8497367799991
-159.7511938,-18.8514733499991
-159.7505641,-18.8532099199991
-159.7499343,-18.8549464799991
-159.7495773,-18.8565779099991
-159.7492202,-18.8582093299991
-159.7488632,-18.8598407499991
-159.7485062,-18.8614721699991
-159.7481491,-18.8631035899991
-159.747746,-18.8646224799991
-159.7473429,-18.8661413699991
-159.7469398,-18.8676602599991
-159.7465367,-18.8691791499991
-159.7467627,-18.8708429099991
-159.7469886,-18.8725066599991
-159.7472146,-18.8741704199991
-159.7474405,-18.8758341799991
-159.7476665,-18.8774979299991
-159.7473099,-18.8792333899991
-159.7469532,-18.8809688399991
-159.7460493,-18.8825330899991
-159.7451454,-18.8840973299991
-159.7441497,-18.8854885399991
-159.7431539,-18.8868797399991
-159.7422469,-18.8877503699991
-159.7413398,-18.8886210099991
-159.7400712,-18.8901288699991
-159.7388026,-18.8916367399991
-159.737534,-18.8931445999991
-159.7363848,-18.8941895699991
-159.7352355,-18.8952345299991
-159.7340863,-18.8962794899991
-159.7329358,-18.8970354399991
-159.7317852,-18.8977913799991
-159.7306347,-18.8985473299991
-159.7296066,-18.8995339699991
-159.7285785,-18.9005206199991
-159.7275504,-18.9015072699991
-159.7268265,-18.9026372199991
-159.7261026,-18.9037671699991
-159.7257439,-18.9050690899991
-159.7253851,-18.9063710099991
-159.7254518,-18.9077579599991
-159.7255185,-18.9091449199991
-159.7255852,-18.9105318799991
-159.725592,-18.9120924799991
-159.7255987,-18.9136530699991
-159.7256054,-18.9152136699991
-159.7258868,-18.9170766399991
-159.7261681,-18.9189396099991
-159.7264495,-18.9208025899991
-159.7267308,-18.9226655599991
-159.7265571,-18.9246314599991
-159.7263834,-18.9265973699991
-159.7262097,-18.9285632699991
-159.7262772,-18.9301236199991
-159.7263447,-18.9316839799991
-159.7264121,-18.9332443299991
-159.7264191,-18.9348482699991
-159.726426,-18.9364522099991
-159.7264329,-18.9380561499991
-159.7264399,-18.9396600899991
-159.726902,-18.9411755499991
-159.7273642,-18.9426909999991
-159.7278263,-18.9442064499991
-159.7282884,-18.9457218999991
-159.7287966,-18.9473238699991
-159.7293047,-18.9489258399991
-159.7298128,-18.9505277999991
-159.7303209,-18.9521297699991
-159.7316938,-18.9535115599991
-159.7330666,-18.9548933499991
-159.734949,-18.9547124799991
-159.7368314,-18.9545316099991
-159.7387138,-18.9543507299991
-159.7399852,-18.9533919399991
-159.7412567,-18.9524331499991
-159.7425282,-18.9514743599991
-159.7437996,-18.9505155699991
-159.7449593,-18.9490196599991
-159.7461189,-18.9475237399991
-159.7472786,-18.9460278199991
-159.7484382,-18.9445318999991
-159.7495979,-18.9430359799991
-159.7511115,-18.9419316399991
-159.7526252,-18.9408272999991
-159.7541388,-18.9397229599991
-159.7556296,-18.9389538999991
-159.7571203,-18.9381848499991
-159.7586111,-18.9374157899991
-159.7601019,-18.9366467399991
-159.7615927,-18.9358776899991
-159.76323,-18.9352929199991
-159.7648673,-18.9347081499991
-159.7665046,-18.9341233899991
-159.768142,-18.9335386199991
-159.7697793,-18.9329538599991
-159.7714166,-18.9323690899991
-159.7724441,-18.9312666099991
-159.7734716,-18.9301641199991
-159.7744991,-18.9290616399991
-159.7757708,-18.9282471199991
-159.7770425,-18.9274325999991
-159.7783143,-18.9266180699991
-159.7798921,-18.9263224399991
-159.7814699,-18.9260267999991
-159.7830477,-18.9257311599991
-159.7849161,-18.9258966399991
-159.7867845,-18.9260621199991
-159.788653,-18.9262275999991
-159.7905214,-18.9263930799991
-159.7923907,-18.9267318799991
-159.79426,-18.9270706899991
-159.7961293,-18.9274094899991
-159.7979985,-18.9277482899991
-159.79982,-18.9276103699991
-159.8016415,-18.9274724499991
-159.8034629,-18.9273345399991
-159.8052844,-18.9271966199991
-159.8071055,-18.9269805899991
-159.8089265,-18.9267645699991
-159.8107476,-18.9265485399991
-159.8125687,-18.9263325199991
-159.8143898,-18.9261164899991
-159.8161364,-18.9255885899991
-159.817883,-18.9250606899991
-159.8196297,-18.9245327899991
-159.8213763,-18.9240048899991
-159.8231229,-18.9234769899991
-159.8249435,-18.9231715999991
-159.826764,-18.9228662099991
-159.8285846,-18.9225608199991
-159.8304051,-18.9222554299991
-159.8322257,-18.9219500399991
-159.8340463,-18.9216446499991
-159.8358668,-18.9213392599991
-159.8375046,-18.9209272699991
-159.8391424,-18.9205152799991
-159.8407802,-18.9201032799991
-159.8416845,-18.9187697899991
-159.8425888,-18.9174363099991
-159.8434931,-18.9161028199991
-158.9595056,-19.2866833999991
-158.9603961,-19.2855130999991
-158.9612867,-19.2843427999991
-158.9624284,-19.2827173499991
-158.9635701,-19.2810918999991
-158.9647117,-19.2796831899991
-158.9658534,-19.2782744899991
-158.9668123,-19.2771764199991
