lon,lat
201.9449643,-8.981892256
201.9443503,-8.980679107
201.9437362,-8.979465957
201.943325,-8.977934145
201.9429138,-8.976402334
201.9425026,-8.974870522
201.9435455,-8.973219308
201.9445885,-8.971568095
201.9458944,-8.970393414
201.9472004,-8.969218734
201.9480259,-8.967871749
201.9488514,-8.966524763
201.9494577,-8.96474451
201.9500639,-8.962964257
201.9500892,-8.961518097
201.9501146,-8.960071937
201.9501399,-8.958625778
201.9500911,-8.956630292
201.9500423,-8.954634806
201.9499935,-8.952639319
201.9499447,-8.950643833
201.9501796,-8.948712693
201.9504146,-8.946781553
201.9506495,-8.944850412
201.9508845,-8.942919272
201.9505318,-8.941531924
201.9501792,-8.940144576
201.9497601,-8.938366949
201.9493411,-8.936589323
201.948922,-8.934811697
201.9485029,-8.93303407
201.9482076,-8.931299507
201.9479122,-8.929564944
201.9476169,-8.927830381
201.947176,-8.926052805
201.9467352,-8.924275228
201.9465557,-8.922366835
201.9472213,-8.921063648
201.9478869,-8.919760462
201.9485525,-8.918457276
201.9500349,-8.91810642
201.9515173,-8.917755564
201.9529997,-8.917404708
201.9542812,-8.918095541
201.9555627,-8.918786374
201.9568443,-8.919477207
201.9580972,-8.920370553
201.9593502,-8.921263898
201.9606032,-8.922157243
201.9622846,-8.922847003
201.9639661,-8.923536763
201.9656476,-8.924226523
201.967329,-8.924916284
201.9688351,-8.925259409
201.9703411,-8.925602535
201.9718472,-8.925945661
201.9733533,-8.926288787
201.9750975,-8.925966064
201.9768417,-8.92564334
201.978586,-8.925320617
201.9801985,-8.924708998
201.9818111,-8.92409738
201.9834237,-8.923485761
201.9850363,-8.922874143
201.9866193,-8.922103502
201.9882023,-8.921332862
201.9897853,-8.920562222
201.9913684,-8.919791581
201.9929514,-8.919020941
201.9945344,-8.9182503
201.996045,-8.917609974
201.9975557,-8.916969648
201.9990663,-8.916329322
202.0009857,-8.916266305
202.0029051,-8.916203288
202.0048244,-8.916140272
202.0064183,-8.916699918
202.0080122,-8.917259564
202.0096061,-8.91781921
202.0112,-8.918378856
202.0126687,-8.919433368
202.0141375,-8.920487879
202.0156063,-8.921542391
202.017075,-8.922596903
202.0185438,-8.923651414
202.0201342,-8.924514675
202.0217246,-8.925377936
202.023315,-8.926241197
202.0249055,-8.927104457
202.0264959,-8.927967718
202.0282436,-8.928899913
202.0299913,-8.929832107
202.031739,-8.930764302
202.0334867,-8.931696497
202.0352344,-8.932628691
202.036487,-8.933290378
202.0377395,-8.933952064
202.038992,-8.93461375
202.0405065,-8.935332528
202.042021,-8.936051306
202.0435354,-8.936770084
202.0453683,-8.93693844
202.0472011,-8.937106796
202.049034,-8.937275152
202.0508217,-8.936923025
202.0526094,-8.936570899
202.0543972,-8.936218772
202.0561849,-8.935866646
202.0581251,-8.935427286
202.0600652,-8.934987927
202.0620054,-8.934548568
202.0639455,-8.934109208
202.0655161,-8.934104701
202.0673504,-8.93479352
202.0691848,-8.93548234
202.0710191,-8.936171159
202.0718512,-8.937253288
202.0726833,-8.938335416
202.0729937,-8.94002639
202.073304,-8.941717363
202.0732789,-8.943076716
202.0732538,-8.94443607
202.0732287,-8.945795423
202.0732334,-8.947400517
202.0732381,-8.949005612
202.0737659,-8.950457353
202.0742937,-8.951909094
202.0748215,-8.953360835
202.0753493,-8.954812576
202.0759219,-8.956632924
202.0764944,-8.958453271
202.0777202,-8.959837899
202.0789459,-8.961222527
202.0798216,-8.962261118
202.0806972,-8.96329971
202.0809345,-8.964860737
202.0811719,-8.966421765
202.0814092,-8.967982792
202.0818218,-8.969803591
202.0822344,-8.97162439
202.082647,-8.973445189
202.0829428,-8.975092803
202.0832386,-8.976740417
202.0835343,-8.978388031
202.0839462,-8.97994854
202.0843581,-8.981509049
202.08477,-8.983069558
202.0857129,-8.984671878
202.0866557,-8.986274199
202.0875986,-8.987876519
202.0885415,-8.98947884
202.0900508,-8.990775799
202.09156,-8.992072759
202.0930693,-8.993369719
202.0945785,-8.994666678
202.0960654,-8.995761235
202.0975523,-8.996855791
202.0990391,-8.997950347
202.0998286,-8.999292793
202.1006181,-9.000635239
202.1014076,-9.001977684
202.1021971,-9.00332013
202.1030529,-9.004944341
202.1039087,-9.006568552
202.1047645,-9.008192763
202.1056203,-9.009816974
202.1066141,-9.011361222
202.1076079,-9.01290547
202.1086017,-9.014449718
202.1095955,-9.015993965
202.1105893,-9.017538213
202.1115831,-9.019082461
202.1128788,-9.020379947
202.1141744,-9.021677433
202.11547,-9.022974918
202.1167657,-9.024272404
202.1180613,-9.02556989
202.1189808,-9.02656484
202.1199002,-9.02755979
202.1199346,-9.029265983
202.119969,-9.030972177
202.1200033,-9.03267837
202.1189011,-9.03375178
202.1177989,-9.03482519
202.1166967,-9.035898601
202.1157691,-9.037000393
202.1148416,-9.038102186
202.113914,-9.039203979
202.1124628,-9.040336272
202.1110116,-9.041468565
202.1095605,-9.042600859
202.1081667,-9.043490029
202.1067729,-9.044379199
202.1053792,-9.045268368
202.1039854,-9.046157538
202.1025917,-9.047046708
202.1012563,-9.048005094
202.0999209,-9.04896348
202.0985855,-9.049921866
202.0973676,-9.051255855
202.0961497,-9.052589844
202.0949317,-9.053923833
202.094064,-9.055618275
202.0931963,-9.057312717
202.0926184,-9.058615866
202.0920404,-9.059919014
202.0914625,-9.061222162
202.0905281,-9.062526369
202.0895937,-9.063830576
202.0886593,-9.065134783
202.0877249,-9.06643899
202.0870089,-9.067785923
202.0862928,-9.069132857
202.0855768,-9.07047979
202.0848607,-9.071826723
202.0841022,-9.073585897
202.0833437,-9.075345071
202.0825852,-9.077104245
202.0818267,-9.078863419
202.0812197,-9.080210023
202.0806127,-9.081556627
202.079831,-9.082860366
202.0790493,-9.084164105
202.0778739,-9.085165337
202.0766985,-9.086166569
202.0756088,-9.086646971
202.0745191,-9.087127373
202.0728895,-9.087074319
202.0712599,-9.087021265
202.0696303,-9.08696821
202.0679706,-9.086582629
202.066311,-9.086197049
202.0646513,-9.085811468
202.0629916,-9.085425887
202.0613306,-9.084563089
202.0596695,-9.083700291
202.0580084,-9.082837493
202.056661,-9.082262974
202.0553136,-9.081688454
202.0539662,-9.081113934
202.0524308,-9.08091591
202.0508954,-9.080717886
202.0493599,-9.080519861
202.0480224,-9.080841827
202.0466849,-9.081163793
202.0453474,-9.081485759
202.0440984,-9.082241272
202.0428494,-9.082996786
202.0416004,-9.083752299
202.0401629,-9.084710787
202.0387253,-9.085669274
202.0379604,-9.085259327
202.0369578,-9.085717681
202.0356252,-9.08607791
202.0343629,-9.086419148
202.0336256,-9.08570969
202.0328884,-9.085000231
202.0319625,-9.084109278
202.0310367,-9.083218325
202.029919,-9.081583819
202.0288014,-9.079949312
202.0276838,-9.078314806
202.0265662,-9.076680299
202.025636,-9.074930286
202.0247057,-9.073180274
202.0237755,-9.071430261
202.0228453,-9.069680249
202.0219151,-9.067930236
202.0209506,-9.066405887
202.0199862,-9.064881537
202.0190217,-9.063357188
202.0180573,-9.061832838
202.0170928,-9.060308488
202.0159547,-9.059096953
202.0148166,-9.057885417
202.0136785,-9.056673881
202.0125404,-9.055462345
202.0119834,-9.0539889
202.0114265,-9.052515455
202.0108696,-9.051042009
202.0102539,-9.049351811
