lon,lat
536.0562052,-5.637646908
536.0581641,-5.637958771
536.0600958,-5.638477028
536.0620275,-5.638995285
536.0639899,-5.639373869
536.0659608,-5.639713683
536.0679317,-5.640053497
536.0699027,-5.640393311
536.0718224,-5.640947849
536.0737348,-5.641533278
536.0756472,-5.642118706
536.0775641,-5.64268899
536.0794861,-5.643242278
536.081408,-5.643795565
536.08333,-5.644348852
536.0852519,-5.644902139
536.0871567,-5.645511474
536.0890599,-5.646126335
536.090963,-5.646741196
536.0928662,-5.647356057
536.0948028,-5.647804823
536.0967955,-5.647975625
536.098788,-5.64814787
536.1007774,-5.648353669
536.1027425,-5.648637968
536.1045011,-5.649590535
536.1063078,-5.650425174
536.1082309,-5.650974616
536.1101539,-5.651524058
536.112077,-5.6520735
536.1140329,-5.652488915
536.1159921,-5.652890804
536.1178302,-5.653535851
536.1193316,-5.654857107
536.1208274,-5.656184336
536.1222215,-5.657618326
536.1236157,-5.659052315
536.1250098,-5.660486305
536.1260888,-5.662152408
536.1270443,-5.663909376
536.1279999,-5.665666344
536.1289554,-5.667423312
536.129802,-5.669229609
536.1304916,-5.671106949
536.1311813,-5.672984288
536.1318709,-5.674861628
536.1324978,-5.676760774
536.1331209,-5.678661233
536.133744,-5.680561692
536.1343671,-5.682462151
536.1347113,-5.68442257
536.1349244,-5.686411189
536.1351374,-5.688399807
536.1353505,-5.690388425
536.136439,-5.69204958
536.1375833,-5.693689834
536.1387277,-5.695330088
536.1399834,-5.696878886
536.1413706,-5.698319526
536.1427579,-5.699760167
536.1432214,-5.701696662
536.1433322,-5.703684492
536.1432303,-5.70565014
536.1420201,-5.707242464
536.1408099,-5.708834788
536.1389878,-5.70801401
536.1371651,-5.707190837
536.135754,-5.705831241
536.1344876,-5.704283327
536.1332211,-5.702735412
536.1319546,-5.701187497
536.1311264,-5.699369716
536.1303141,-5.697542093
536.1293503,-5.695806495
536.1281033,-5.694242829
536.1268563,-5.692679162
536.1256093,-5.691115495
536.1243624,-5.689551828
536.1231154,-5.687988161
536.1218684,-5.686424495
536.1205479,-5.684924223
536.1191856,-5.68345985
536.1178234,-5.681995476
536.1164612,-5.680531103
536.1149603,-5.679214784
536.1134103,-5.677950907
536.1118602,-5.67668703
536.1103102,-5.675423154
536.1087602,-5.674159277
536.1071921,-5.672919671
536.1055352,-5.671799523
536.1038783,-5.670679375
536.1022214,-5.669559227
536.1005646,-5.66843908
536.0989077,-5.667318932
536.0971535,-5.666383293
536.095293,-5.665649556
536.0934324,-5.66491582
536.0915719,-5.664182083
536.0897114,-5.663448347
536.0878567,-5.662700089
536.0860105,-5.661930859
536.0841644,-5.661161628
536.0823182,-5.660392397
